"Driver","GP","Year","Team","LapTimeQ1","PositionQ1","GapToKnockoutQ1","LapTimeQ2","PositionQ2","GapToKnockoutQ2","GridPosition","RacePosition","Status","Points","PositionDifference","ChampionshipPoints","LastRacePosition","TeamChampionshipPoints","TeammateLastRacePosition","LapTimeFP1","GapToFastestFP1","PositionFP1","LapTimeFP2","GapToFastestFP2","PositionFP2","LapTimeFP3","GapToFastestFP3","PositionFP3","StartingTire","NumberOfPitStops","TiresUsed","MadeItToQ2","MadeItToQ3","DNF","Strategy","TireSOFT","TireMEDIUM","TireHARD","TireWET","TireINTERMEDIATE","TireUNKNOWN","MostPopularStrategy","AlternativeStrategy","Pitlane","DNFDriving","DNFMechanical"
"TSU","Netherlands",2021,"RB",70.462,14,0.027000000000001,71.314,15,-1.28100000000001,14,19,"Power Unit",0,-5,32,19,131,4,120.384,48.884,20,72.096,1.194,13,71.98,2.357,17,"SOFT",1,"SOFT, MEDIUM",1,0,1,"SOFT-MEDIUM",1,0,0,0,0,0,"SOFT-HARD",1,0,0,1
"TSU","Netherlands",2022,"RB",71.427,3,0.399000000000001,71.428,10,0,9,20,"Differential",0,-11,6,20,29,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SOFT",2,"SOFT, MEDIUM, HARD",1,1,1,"SOFT-MEDIUM-HARD",1,0,0,0,0,0,"SOFT-HARD-SOFT-SOFT",1,0,0,1
"TSU","Netherlands",2023,"RB",81.781,9,0.254999999999995,80.23,14,-0.162999999999997,17,15,"Finished",0,2,2,15,2,13,72.749,0.897000000000006,9,71.72,0.39,5,83.544,1.91300000000001,13,"SOFT",1,"SOFT, INTERMEDIATE, SOFT, INTERMEDIATE",1,0,0,"SOFT-INTERMEDIATE-SOFT-INTERMEDIATE-INTERMEDIATE-INTERMEDIATE",1,0,0,0,0,0,"SOFT-INTERMEDIATE-SOFT-INTERMEDIATE-INTERMEDIATE-INTERMEDIATE",0,0,0,0
"TSU","Netherlands",2024,"RB",71.603,11,0.339999999999989,70.955,12,-0.0409999999999968,NA,NA,"",NA,NA,NA,NA,NA,NA,74.418,2.096,14,71.374,0.672000000000011,7,NA,NA,NA,"SOFT",2,"SOFT, MEDIUM, HARD",1,0,0,"SOFT-MEDIUM-HARD",1,0,0,0,0,0,"MEDIUM-HARD-SOFT",1,0,0,0
"TSU","Portugal",2021,"RB",79.684,12,0.113,79.463,14,-0.411000000000001,14,15,"+1 Lap",0,-1,32,15,140,10,81.09,1.44199999999999,13,81.053,1.21600000000001,14,79.485,0.995999999999995,12,"MEDIUM",1,"MEDIUM, HARD",1,0,0,"MEDIUM-MEDIUM-MEDIUM-HARD",0,1,0,0,0,0,"MEDIUM-MEDIUM-MEDIUM-HARD-SOFT",1,0,0,0
"TSU","Qatar",2021,"RB",82.458,7,0.405000000000001,82.058,7,0.182999999999993,8,13,"+1 Lap",0,-5,32,13,105,11,84.648,0.925000000000011,5,83.735,0.586999999999989,7,83.567,1.257,10,"SOFT",2,"SOFT, MEDIUM, HARD",1,1,0,"SOFT-MEDIUM-HARD",1,0,0,0,0,0,"MEDIUM-HARD-MEDIUM",1,0,0,0
"TSU","Qatar",2023,"RB",86.058,13,0.0600000000000022,85.301,11,-0.0039999999999906,11,15,"+1 Lap",0,-4,10,15,18,17,88.027,0.59899999999999,6,NA,NA,NA,NA,NA,NA,"MEDIUM",1,"MEDIUM, HARD",1,0,0,"MEDIUM-MEDIUM-HARD-HARD",0,1,0,0,0,0,"MEDIUM-MEDIUM-HARD-MEDIUM",1,0,0,0
"TSU","Russia",2021,"RB",108.854,15,0,106.751,13,-0.230000000000004,12,17,"+1 Lap",0,-5,32,17,139,13,97.794,3.367,16,95.954,2.361,18,NA,NA,NA,"MEDIUM",3,"MEDIUM, HARD, SOFT, INTERMEDIATE",1,0,0,"MEDIUM-HARD-SOFT-INTERMEDIATE",0,1,0,0,0,0,"HARD-MEDIUM-INTERMEDIATE",1,0,0,0
"TSU","Saudi Arabia",2021,"RB",88.503,10,0.441000000000003,88.222,5,0.393999999999991,8,14,"+1 Lap",0,-6,32,14,113,6,91.099,1.313,15,89.597,0.579000000000008,8,88.641,0.540999999999997,4,"MEDIUM",1,"MEDIUM, HARD, MEDIUM, HARD",1,1,0,"MEDIUM-HARD-MEDIUM-HARD",0,1,0,0,0,0,"HARD-MEDIUM-MEDIUM",1,0,0,0
"TSU","Saudi Arabia",2022,"RB",NA,20,NA,NA,NA,NA,19,19,"Power Unit",0,0,6,19,29,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,"",-1,"",NA,NA,1,"",0,0,0,0,0,1,"MEDIUM-HARD",1,0,0,1
