,Driver,Team,LapTimeQ1,PositionQ1,GapToKnockoutQ1,Year,GP,LapTimeQ2,PositionQ2,GapToKnockoutQ2,GridPosition,RacePosition,Status,Points,PositionDifference,ChampionshipPoints,LastRacePosition,TeamChampionshipPoints,TeammateLastRacePosition,LapTimeFP1,GapToFastestFP1,PositionFP1,LapTimeFP2,GapToFastestFP2,PositionFP2,LapTimeFP3,GapToFastestFP3,PositionFP3,StartingTyre,NumberOfPitStops,TyresUsed,MadeItToQ2,MadeItToQ3,DNF,Strategy,TyreSOFT,TyreMEDIUM,TyreHARD,TyreWET,TyreINTERMEDIATE,TyreUNKNOWN,MostPopularStrategy,AlternativeStrategy,Pitlane,DNFDriving,DNFMechanical
12,PER,Aston Martin,89.893,13,0.0660000000000025,2019,Bahrain,89.756,14.0,-0.284999999999997,14.0,10.0,Finished,1.0,4.0,1.0,10.0,1.0,14.0,92.885,2.53100000000001,14.0,90.716,1.87,14.0,91.638,2.069,15.0,SOFT,1,"SOFT, MEDIUM",1.0,0.0,0,SOFT-MEDIUM-MEDIUM,1,0,0,0,0,0,SOFT-MEDIUM-SOFT,1,0.0,0,0
13,GAS,Red Bull Racing,89.9,14,0.0589999999999975,2019,Bahrain,89.526,13.0,-0.0550000000000068,13.0,8.0,Finished,4.0,5.0,4.0,8.0,16.0,4.0,91.815,1.46100000000001,6.0,90.429,1.583,12.0,91.392,1.82300000000001,12.0,SOFT,1,"SOFT, MEDIUM",1.0,0.0,0,SOFT-SOFT-MEDIUM,1,0,0,0,0,0,SOFT-MEDIUM-SOFT,1,0.0,0,0
14,RAI,Kick Sauber,89.959,15,0.0,2019,Bahrain,89.471,10.0,0.0,8.0,7.0,Finished,6.0,1.0,6.0,7.0,6.0,11.0,92.385,2.03100000000001,10.0,91.088,2.242,16.0,91.333,1.76400000000001,11.0,SOFT,1,"SOFT, MEDIUM, SOFT",1.0,1.0,0,SOFT-MEDIUM-SOFT,1,0,0,0,0,0,SOFT-MEDIUM-SOFT,0,0.0,0,0
15,GIO,Kick Sauber,90.026,16,-0.0670000000000072,2019,Bahrain,,,,16.0,11.0,Finished,0.0,5.0,0.0,11.0,6.0,7.0,92.949,2.59500000000001,16.0,91.144,2.298,18.0,92.132,2.563,18.0,SOFT,1,"SOFT, MEDIUM, SOFT",0.0,,0,SOFT-MEDIUM-MEDIUM,1,0,0,0,0,0,SOFT-MEDIUM-SOFT,1,0.0,0,0
16,HUL,Alpine,90.034,17,-0.0750000000000028,2019,Bahrain,,,,17.0,17.0,Engine,0.0,0.0,0.0,17.0,0.0,18.0,92.04,1.68600000000001,8.0,89.669,0.823000000000008,5.0,90.91,1.34100000000001,6.0,SOFT,1,"SOFT, MEDIUM",0.0,,1,SOFT-SOFT-MEDIUM,1,0,0,0,0,0,SOFT-MEDIUM-SOFT,1,0.0,0,1
17,STR,Aston Martin,90.217,18,-0.257999999999996,2019,Bahrain,,,,18.0,14.0,+1 Lap,0.0,4.0,0.0,14.0,1.0,10.0,93.518,3.164,18.0,91.129,2.283,17.0,91.618,2.04900000000001,14.0,SOFT,1,"SOFT, MEDIUM",0.0,,0,SOFT-MEDIUM-MEDIUM,1,0,0,0,0,0,SOFT-MEDIUM-SOFT,1,0.0,0,0
18,RUS,Williams,91.759,19,-1.8,2019,Bahrain,,,,19.0,15.0,+1 Lap,0.0,4.0,0.0,15.0,0.0,16.0,94.188,3.834,19.0,91.904,3.05800000000001,19.0,93.387,3.818,19.0,SOFT,1,"SOFT, MEDIUM",0.0,,0,SOFT-MEDIUM-MEDIUM,1,0,0,0,0,0,SOFT-MEDIUM-SOFT,1,0.0,0,0
19,KUB,Williams,91.799,20,-1.84,2019,Bahrain,,,,20.0,16.0,+2 Laps,0.0,4.0,0.0,16.0,0.0,15.0,94.253,3.899,20.0,92.932,4.086,20.0,93.525,3.956,20.0,MEDIUM,1,"MEDIUM, SOFT, MEDIUM",0.0,,0,MEDIUM-SOFT-MEDIUM,0,1,0,0,0,0,SOFT-MEDIUM-SOFT,1,0.0,0,0
20,BOT,Mercedes,92.658,1,1.49000000000001,2019,China,91.728,2.0,1.508,1.0,2.0,Finished,18.0,-1.0,36.0,2.0,86.0,1.0,94.653,0.742000000000004,5.0,93.33,0.0,1.0,92.83,0.0,1.0,MEDIUM,1,"MEDIUM, HARD, MEDIUM",1.0,1.0,0,MEDIUM-HARD-MEDIUM,0,1,0,0,0,0,MEDIUM-HARD-MEDIUM,0,0.0,0,0
21,LEC,Ferrari,92.712,2,1.43600000000001,2019,China,92.324,4.0,0.911999999999992,4.0,5.0,Finished,10.0,-1.0,26.0,5.0,51.0,3.0,94.167,0.256,3.0,94.158,0.827999999999989,7.0,93.248,0.417999999999992,3.0,MEDIUM,1,"MEDIUM, HARD, MEDIUM",1.0,1.0,0,MEDIUM-HARD-MEDIUM,0,1,0,0,0,0,MEDIUM-HARD-MEDIUM,0,0.0,0,0
